episode,steps,total_reward,correct_decisions,fraud_caught,fraud_missed,approve_count,block_count,review_count
1,50,-87.6125,20,4,3,19,18,13
1,50,-33.612500000000026,23,5,2,20,14,16
1,48,-52.56400000000002,15,2,0,13,15,20
1,49,-60.587999999999994,15,7,2,10,19,20
1,50,-66.6125,23,5,3,21,13,16
1,50,-45.612500000000026,19,4,0,15,19,16
1,48,-103.56399999999998,17,2,3,18,10,20
1,50,-47.612500000000004,20,6,1,15,15,20
1,50,-53.612500000000004,26,10,3,19,14,17
1,50,-85.6125,18,5,2,15,20,15
1,50,-98.61250000000001,20,4,3,19,14,17
1,50,-86.6125,20,6,4,18,15,17
1,50,-107.6125,15,1,1,15,18,17
