algorithm,run_id,mean_reward,std_reward,mean_fraud_caught,mean_fraud_missed,mean_steps,learning_rate,gamma,n_steps,ent_coef,vf_coef,total_timesteps
A2C,1,35.025000000000006,48.779606394475955,8.5,4.3,100.0,0.0007,0.99,5,0.01,0.5,50000
A2C,2,74.95004999999999,30.715285079622802,8.8,1.5,93.0,0.001,0.99,5,0.01,0.5,50000
A2C,3,-16.37500000000001,46.635715926744396,6.5,6.5,100.0,0.0007,0.99,10,0.01,0.5,50000
A2C,4,87.94969999999998,24.34229489920783,9.3,0.7,88.0,0.0007,0.99,5,0.05,0.5,50000
A2C,5,72.2598,23.301021940249736,9.5,1.6,89.5,0.0007,0.99,5,0.01,1.0,50000
A2C,6,79.19554999999998,30.9327468845316,9.6,1.8,93.6,0.0007,0.995,5,0.01,0.5,50000
A2C,7,60.04074999999999,28.374990704183496,9.3,2.3,89.6,0.0007,0.99,20,0.01,0.5,50000
A2C,8,-162.875,60.28134039651075,0.0,12.4,100.0,0.0001,0.99,3,0.001,0.25,50000
A2C,9,-40.775,52.65178059667118,5.6,7.5,100.0,0.005,0.98,10,0.1,0.75,50000
A2C,10,76.57889999999999,26.98751241018704,10.8,1.9,88.9,0.0003,0.99,8,0.02,0.5,50000
